Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2C W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,140.31413612565444,0.0004484042553191489,210.02243829468958,0.0005984042553191489
,,,,,,145.99850411368735,0.000501063829787234,213.91174270755423,0.0005968085106382978
,,,,,,147.79356768885563,0.0005066489361702127,221.39117427075539,0.0005537234042553192
,,,,,,150.4861630516081,0.0005529255319148935,226.47718773373222,0.0005497340425531915
,,,,,,151.9820493642483,0.0005776595744680851,230.0673148840688,0.0005625000000000001
,,,,,,153.7771129394166,0.0005800531914893618,235.75168287210167,0.0005848404255319149
,,,,,,157.36724008975318,0.0005537234042553192,241.73522812266268,0.0006000000000000001
,,,,,,160.65818997756168,0.0005473404255319149,251.00972326103218,0.0005824468085106383
,,,,,,163.94913986537023,0.0005170212765957447,258.78833208676144,0.0005680851063829787
,,,,,,169.93268511593118,0.0004779255319148936,262.67763649962603,0.0005816489361702128
,,,,,,172.6252804786836,0.00048191489361702126,265.37023186237843,0.0006055851063829787
,,,,,,174.4203440538519,0.00047553191489361704,268.36200448765896,0.0006327127659574468
,,,,,,177.7112939416604,0.0006343085106382979,273.74719521316376,0.0006199468085106383
,,,,,,179.20718025430065,0.0006462765957446809,277.9356768885565,0.0006063829787234042
,,,,,,182.79730740463722,0.0006135638297872341,282.1241585639491,0.0006207446808510638
,,,,,,185.48990276738968,0.0005960106382978724,286.91099476439786,0.0006454787234042553
,,,,,,189.37920718025433,0.0005960106382978724,292.29618548990277,0.0006622340425531915
,,,,,,195.0635751682872,0.0005720744680851064,297.08302169035153,0.0006805851063829788
,,,,,,201.94465220643227,0.0005601063829787234,300.9723261032161,0.000676595744680851
