Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,250.26415094339617,0.01269508520998174,300.0754716981131,0.013020176506390748
,,,,,,252.67924528301884,0.011808110164333536,304.60377358490564,0.012939759586122946
,,,,,,254.79245283018864,0.011505797321972003,310.0377358490565,0.012899710894704809
,,,,,,258.41509433962256,0.011667270237370663,315.4716981132075,0.010460468654899573
,,,,,,261.7358490566038,0.012393244065733415,318.7924528301886,0.008121926354230067
,,,,,,264.4528301886793,0.01348209068776628,322.7169811320755,0.005682608034083995
,,,,,,266.566037735849,0.014570906877662812,328.15094339622635,0.004190946439440051
,,,,,,268.6792452830189,0.01531698113207547,332.37735849056594,0.003747611077297628
,,,,,,269.58490566037733,0.015317026780279975,336.90566037735846,0.0037478393183201474
,,,,,,272.3018867924528,0.014349421789409617,342.64150943396226,0.0038489348752282423
,,,,,,274.7169811320754,0.01334147900182593,347.16981132075466,0.003728195374315277
,,,,,,278.0377358490565,0.01255535605599513,354.11320754716974,0.003486609860012174
,,,,,,281.35849056603774,0.01227326536822885,360.15094339622635,0.0032651399878271467
,,,,,,283.4716981132075,0.01241450091296409,370.11320754716974,0.003285803408399273
,,,,,,289.5094339622641,0.014209160073037127,379.7735849056603,0.0031048387096774197
,,,,,,290.7169811320754,0.014914866098600122,385.5094339622641,0.0029438374923919687
